"ID","time","filter_1","filter_2","grade_group","age","sex","b1_1","b1_2","b1_3","b1_4","b1_5","b2_1","b2_2","b2_3","b3_1","b3_2","b3_3","b4_1","b4_2","b4_3","b4_4","b5_1","b5_2","b5_3","b6_1","b6_2","b6_3","b7_1","b7_2","b7_3","b7_4","b8_1","b8_2","b8_3","b9_1","b9_2","b9_3","b1","b2","b3","b4","b5","b6","b7","b8","b9","","","","",""
"2001931823","10.03.2025 14:36:24","Да","Да","1–3 года","25.00","Женский","5","4","5","5","5","4","4","3","4","5","3","4","3","4","3","4","4","3","4","4","3","4","4","5","5","4","4","3","4","4","5","Развитие","","","Условия работы","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2002033160","10.03.2025 16:45:39","Да","Да","более 3 лет","","Женский","5","4","5","4","4","4","5","5","5","5","5","5","5","5","5","3","5","5","5","4","5","5","4","5","4","4","5","4","1","3","4","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","Корпоративная культура","Интерес к работе","Финансовая мотивация","","","","","","",""
"2002127033","10.03.2025 17:24:06","Да","Да","более 3 лет","26.00","Женский","4","3","5","4","4","5","5","5","5","3","4","4","4","4","3","3","4","5","4","4","4","5","4","5","4","3","3","3","4","4","4","Развитие","Коллектив и атмосфера","","","","","Финансовая мотивация","","","","","","",""
"2002143464","10.03.2025 17:40:18","Да","Да","1–3 года","20.00","Мужской","2","3","5","5","5","4","4","4","3","3","3","2","4","4","3","3","4","4","5","5","5","5","5","5","4","5","5","5","5","5","5","Развитие","","","Условия работы","","","Финансовая мотивация","","Руководство","","","","",""
"2002192882","10.03.2025 18:57:01","Да","Да","более 3 лет","","Мужской","5","1","5","3","4","4","4","4","5","1","5","4","5","5","2","4","2","4","5","5","4","4","4","4","4","4","2","4","5","5","5","Развитие","","Стабильность","Условия работы","","Интерес к работе","","","","","","","",""
"2002242301","10.03.2025 19:30:51","Да","Да","более 3 лет","31.00","Мужской","5","5","5","3","5","4","4","5","5","4","4","2","5","4","2","3","4","3","5","4","4","3","4","4","4","5","5","4","5","5","4","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002242596","10.03.2025 19:31:08","Да","Да","более 3 лет","","Мужской","5","5","5","4","2","4","5","4","3","4","3","4","4","5","4","3","2","3","3","3","4","4","5","5","5","5","4","4","5","5","5","Развитие","Коллектив и атмосфера","","","","","Финансовая мотивация","","Руководство","","","","",""
"2002242891","10.03.2025 19:31:31","Да","Да","более 3 лет","30.00","Женский","3","5","5","3","5","5","5","4","5","3","4","3","5","4","3","2","5","5","4","5","4","4","5","5","5","5","5","4","5","4","5","","Коллектив и атмосфера","Стабильность","Условия работы","","Интерес к работе","","","","","","","",""
"2002274723","10.03.2025 20:34:52","Да","Да","более 3 лет","","Мужской","5","3","3","3","3","5","5","5","5","5","3","3","2","3","3","2","1","3","5","4","5","4","4","5","5","5","5","3","5","5","5","","Коллектив и атмосфера","Стабильность","","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","Руководство","","","","",""
"2002299555","10.03.2025 20:37:11","Да","Да","более 3 лет","32.00","Женский","1","4","5","5","4","5","5","5","5","3","3","1","5","5","3","4","2","5","5","4","4","5","4","4","5","5","5","3","4","3","4","","","","","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002307914","10.03.2025 20:47:39","Да","Да","более 3 лет","23.00","Женский","4","2","5","5","5","5","4","5","5","4","3","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","4","3","5","5","5","Развитие","Коллектив и атмосфера","Стабильность","","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002312053","10.03.2025 20:52:56","Да","Да","более 3 лет","34.00","Мужской","5","3","5","4","4","4","4","4","5","3","4","5","4","4","4","5","4","4","5","4","4","4","5","5","4","3","3","5","5","4","4","Развитие","","Стабильность","","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002337362","10.03.2025 21:45:37","Да","Да","более 3 лет","","Мужской","4","2","3","5","3","5","4","4","5","4","5","3","5","4","2","4","5","3","5","4","5","4","5","4","4","4","5","4","4","3","4","Развитие","","","","","Интерес к работе","","","","","","","",""
"2002362672","10.03.2025 22:03:42","Да","Да","более 3 лет","31.00","Мужской","5","4","5","5","5","5","5","3","5","4","4","4","4","5","4","1","3","3","4","4","4","5","5","5","4","4","3","4","5","4","4","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002380418","10.03.2025 22:35:10","Да","Да","более 3 лет","30.00","Женский","5","5","3","3","5","5","5","5","5","4","4","5","4","4","3","5","5","5","5","5","4","5","5","5","5","4","2","3","5","5","5","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","Корпоративная культура","Интерес к работе","Финансовая мотивация","","","","","","",""
"2002391405","10.03.2025 23:12:56","Да","Да","более 3 лет","","Мужской","3","5","4","5","5","5","3","4","5","4","4","3","5","1","4","2","3","4","5","4","5","5","4","5","4","4","5","3","4","4","3","Развитие","","","","","Интерес к работе","","","","","","","",""
"2002402393","10.03.2025 23:23:56","Да","Да","1–3 года","21.00","Мужской","5","2","5","5","5","4","5","5","3","1","4","5","5","5","5","2","4","4","5","5","5","4","4","5","4","5","5","1","5","5","5","Развитие","Коллектив и атмосфера","","","","Интерес к работе","","","","","","","",""
"2002419658","11.03.2025 0:34:21","Да","Да","более 3 лет","","Мужской","5","3","4","5","5","4","4","4","5","3","3","4","5","4","3","2","5","5","4","5","4","4","5","4","4","3","3","4","5","4","5","Развитие","","","","Корпоративная культура","","","","Руководство","","","","",""
"2002426782","11.03.2025 0:43:19","Да","Да","более 3 лет","","Мужской","4","3","4","4","5","4","4","5","5","5","3","3","4","3","3","4","4","2","5","5","5","5","5","4","4","5","5","4","4","4","4","","","Стабильность","","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002441901","11.03.2025 1:27:22","Да","Да","более 3 лет","30.00","Женский","3","3","5","5","5","5","5","5","5","4","3","4","4","4","4","3","5","5","5","5","5","5","5","5","5","3","3","3","5","5","5","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","Корпоративная культура","Интерес к работе","Финансовая мотивация","","","","","","",""
"2002471025","11.03.2025 2:56:43","Да","Да","более 3 лет","","Мужской","5","1","2","5","5","5","4","4","2","2","2","3","5","5","3","2","3","4","3","5","3","4","5","3","4","5","4","4","4","4","5","Развитие","","","Условия работы","","","","","","","","","",""
"2002480156","11.03.2025 3:12:45","Да","Да","более 3 лет","","Мужской","2","3","4","4","5","3","5","4","5","5","3","5","5","4","5","5","5","5","4","4","3","5","4","5","5","5","5","3","5","5","3","","Коллектив и атмосфера","Стабильность","Условия работы","Корпоративная культура","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002504290","11.03.2025 4:23:12","Да","Да","более 3 лет","","Мужской","5","1","5","3","5","5","3","5","4","4","3","3","5","4","2","1","3","3","4","5","2","5","3","4","4","2","5","4","4","5","5","Развитие","Коллектив и атмосфера","","","","","","","Руководство","","","","",""
"2002539821","11.03.2025 5:34:56","Да","Да","более 3 лет","","Мужской","5","1","5","4","5","5","5","4","4","5","5","2","5","3","2","3","1","5","3","5","3","5","5","5","4","5","5","4","5","5","4","Развитие","Коллектив и атмосфера","Стабильность","","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002581023","11.03.2025 7:59:08","Да","Да","более 3 лет","","Мужской","5","4","5","5","4","5","5","5","5","4","5","3","3","4","5","5","5","5","4","4","5","4","4","4","4","4","5","3","4","5","4","Развитие","Коллектив и атмосфера","Стабильность","","Корпоративная культура","","","","","","","","",""
"2002629805","11.03.2025 10:23:37","Да","Да","более 3 лет","","Мужской","5","4","3","4","4","4","5","1","4","4","3","3","4","3","2","3","4","5","3","4","5","5","5","5","5","3","5","4","5","5","5","","","","","","","Финансовая мотивация","","Руководство","","","","",""
"2002685902","11.03.2025 10:53:31","Да","Да","более 3 лет","41.00","Женский","4","5","5","5","5","5","5","5","5","5","5","5","5","5","3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Развитие","","Стабильность","Условия работы","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002781410","11.03.2025 12:20:09","Да","Да","более 3 лет","32.00","Мужской","5","4","5","4","5","5","4","4","5","4","4","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","Развитие","Коллектив и атмосфера","","Условия работы","Корпоративная культура","","Финансовая мотивация","","","","","","",""
"2002805092","11.03.2025 12:41:38","Да","Да","более 3 лет","24.00","Мужской","4","3","4","5","5","5","4","5","4","3","5","4","4","4","3","2","3","4","4","5","5","3","3","4","3","5","5","4","5","4","5","Развитие","Коллектив и атмосфера","","Условия работы","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2002810023","11.03.2025 12:45:12","Да","Да","более 3 лет","","Женский","1","4","5","5","5","5","2","5","4","2","5","4","5","4","5","3","2","5","5","5","3","4","5","5","5","5","5","4","4","5","4","Развитие","Коллектив и атмосфера","","Условия работы","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2002908501","11.03.2025 15:01:49","Да","Да","более 3 лет","","Мужской","4","2","5","4","5","5","5","4","5","3","4","4","5","5","1","1","1","1","3","5","2","5","5","5","5","5","5","4","5","5","5","Развитие","Коллектив и атмосфера","","Условия работы","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2003029563","11.03.2025 15:59:24","Да","Да","более 3 лет","54.00","Мужской","3","3","4","2","4","5","4","3","3","3","4","3","3","2","2","1","3","3","4","5","3","4","4","3","3","5","4","2","4","5","5","","Коллектив и атмосфера","","","","Интерес к работе","","","Руководство","","","","",""
"2003043941","11.03.2025 16:12:02","Да","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003044414","11.03.2025 16:12:29","Да","Да","1–3 года","33.00","Женский","5","3","5","4","4","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","Корпоративная культура","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2003045917","11.03.2025 16:13:48","Да","Да","1–3 года","21.00","Мужской","4","4","4","4","4","5","3","5","5","3","3","5","4","4","2","3","4","2","4","5","3","5","5","5","3","4","4","4","5","4","4","Развитие","Коллектив и атмосфера","","Условия работы","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2003046478","11.03.2025 16:14:17","Да","Да","менее 1 года","20.00","Мужской","5","4","4","5","5","2","3","3","4","5","5","5","5","5","5","4","4","4","4","5","5","5","5","5","5","5","5","4","5","5","5","","","","","","Интерес к работе","","","","","","","",""
"2003049630","11.03.2025 16:17:09","Да","Да","менее 1 года","24.00","Женский","5","5","5","5","5","5","5","5","5","4","4","5","5","5","4","5","5","5","4","4","1","4","5","5","5","1","2","5","5","5","5","Развитие","Коллектив и атмосфера","Стабильность","","","Интерес к работе","","","","","","","",""
"2003049704","11.03.2025 16:17:14","Да","Да","менее 1 года","20.00","Мужской","4","3","2","3","5","4","5","4","5","4","3","3","4","2","2","2","3","4","4","5","4","5","5","5","4","4","4","3","4","4","5","Развитие","","Стабильность","","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2003050961","11.03.2025 16:18:22","Да","Да","менее 1 года","20.00","Женский","5","5","5","5","5","4","4","3","5","4","3","3","4","5","4","4","3","4","4","5","5","4","5","5","4","5","5","4","4","4","4","Развитие","","","Условия работы","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2003051361","11.03.2025 16:18:43","Да","Да","менее 1 года","20.00","Женский","3","4","4","4","5","5","4","3","4","5","3","4","4","4","3","2","4","5","3","3","3","4","4","5","5","5","4","5","5","5","5","","Коллектив и атмосфера","","","Корпоративная культура","Интерес к работе","","Баланс работы и личной жизни","Руководство","","","","",""
"2003052082","11.03.2025 16:19:21","Да","Да","менее 1 года","28.00","Мужской","5","5","4","3","3","3","3","4","2","2","1","5","3","4","4","4","3","5","3","4","5","5","4","3","2","2","2","3","3","3","1","","","Стабильность","","","","","","","","","","",""
"2003052815","11.03.2025 16:19:59","Да","Да","менее 1 года","21.00","Женский","5","4","5","5","5","5","5","5","5","4","4","4","4","5","4","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","","Коллектив и атмосфера","","","","Интерес к работе","","Баланс работы и личной жизни","","","","","",""
"2003053766","11.03.2025 16:20:54","Да","Да","более 3 лет","31.00","Мужской","5","1","5","5","5","4","5","4","5","4","1","1","3","4","3","4","4","4","5","5","5","5","5","3","5","5","5","4","5","4","5","Развитие","","Стабильность","Условия работы","","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2003056718","11.03.2025 16:23:38","Да","Да","менее 1 года","20.00","Мужской","3","4","5","5","5","4","5","3","5","5","4","5","5","5","5","3","3","5","5","3","3","5","5","5","5","5","5","5","4","3","5","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2003057055","11.03.2025 16:23:56","Да","Да","менее 1 года","20.00","Мужской","5","4","5","3","3","5","4","5","4","2","2","5","5","5","4","4","3","3","5","5","3","5","5","5","5","4","5","5","5","4","5","Развитие","Коллектив и атмосфера","","Условия работы","","","","","","","","","",""
"2003057985","11.03.2025 16:24:44","Да","Да","1–3 года","22.00","Мужской","3","5","5","5","5","5","5","3","4","4","4","5","5","5","3","1","4","5","5","5","5","5","2","5","2","5","5","5","5","5","5","Развитие","Коллектив и атмосфера","","Условия работы","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","Руководство","","","","",""
"2003058199","11.03.2025 16:24:54","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003058201","11.03.2025 16:24:54","Да","Да","1–3 года","20.00","Мужской","5","3","4","4","4","5","5","5","5","5","5","4","5","3","3","2","3","4","5","4","5","5","5","5","5","4","2","4","5","5","5","Развитие","Коллектив и атмосфера","Стабильность","Условия работы","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2003058689","11.03.2025 16:25:20","Да","Да","1–3 года","22.00","Женский","5","4","5","4","5","5","5","4","5","4","4","3","4","5","3","4","5","5","5","5","5","5","4","5","4","5","5","5","5","5","5","Развитие","","","","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","Руководство","","","","",""
"2003062660","11.03.2025 16:29:02","Да","Да","1–3 года","23.00","Женский","4","5","5","4","4","5","4","3","5","3","3","5","5","5","5","3","3","4","5","5","5","5","5","5","5","3","5","5","5","5","5","Развитие","","Стабильность","","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2003063355","11.03.2025 16:29:40","Да","Да","1–3 года","20.00","Мужской","5","5","4","5","4","3","5","2","4","3","3","4","5","5","4","3","4","5","4","5","3","3","4","5","2","5","5","4","3","3","3","Развитие","","Стабильность","","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2003066198","11.03.2025 16:32:18","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003067060","11.03.2025 16:33:05","Да","Да","1–3 года","20.00","Мужской","3","4","3","3","4","4","4","4","4","5","3","5","5","4","5","4","4","5","4","3","3","4","5","5","5","5","5","5","5","3","5","","","","Условия работы","Корпоративная культура","","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2003071786","11.03.2025 16:37:34","Да","Да","менее 1 года","21.00","Женский","5","3","5","5","5","5","4","4","5","5","5","4","5","1","3","2","5","5","5","5","4","5","5","5","5","4","5","3","5","5","5","Развитие","","","Условия работы","","","Финансовая мотивация","","Руководство","","","","",""
"2003078363","11.03.2025 16:43:52","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003078622","11.03.2025 16:44:09","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003080047","11.03.2025 16:45:32","Да","Да","1–3 года","19.00","Мужской","5","5","5","5","5","4","4","4","5","5","5","4","5","5","4","4","4","4","5","5","5","5","4","5","4","4","5","4","5","5","5","Развитие","","Стабильность","","","Интерес к работе","Финансовая мотивация","","","","","","",""
"2003080411","11.03.2025 16:45:56","Да","Да","менее 1 года","20.00","Мужской","4","2","4","5","5","3","3","3","4","4","3","5","5","5","4","4","4","5","5","4","5","5","5","3","4","4","3","2","3","2","4","Развитие","","","","","Интерес к работе","","Баланс работы и личной жизни","","","","","",""
"2003084015","11.03.2025 16:49:31","Да","Да","менее 1 года","21.00","Предпочитаю не указывать","1","1","5","1","1","1","1","1","5","1","5","1","1","5","1","1","5","5","5","5","5","5","5","5","1","1","3","3","1","5","5","Развитие","","","","","","Финансовая мотивация","","","","","","",""
"2003086126","11.03.2025 16:51:41","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003086803","11.03.2025 16:52:24","Да","Да","менее 1 года","20.00","Мужской","5","2","5","5","5","3","3","2","4","2","2","2","3","2","2","1","3","3","4","5","3","3","3","4","3","5","5","5","4","5","5","Развитие","","Стабильность","","","Интерес к работе","Финансовая мотивация","Баланс работы и личной жизни","","","","","",""
"2003088488","11.03.2025 16:53:59","Да","Да","менее 1 года","20.00","Мужской","4","3","5","5","5","4","3","4","5","4","5","2","4","4","1","1","4","5","5","4","3","4","5","5","5","5","3","4","5","3","5","Развитие","","Стабильность","","","Интерес к работе","","","","","","","",""
"2003089147","11.03.2025 16:54:36","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003089313","11.03.2025 16:54:46","Да","Нет","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2003089309","11.03.2025 16:54:46","Да","Да","более 3 лет","34.00","Мужской","5","2","4","4","5","5","4","4","5","3","3","4","3","2","3","3","2","3","4","4","4","5","5","4","3","4","5","4","5","4","4","Развитие","Коллектив и атмосфера","","Условия работы","","","Финансовая мотивация","","","","","","",""
"2003090000","11.03.2025 16:55:25","Да","Да","1–3 года","21.00","Мужской","3","3","3","2","3","4","3","4","2","4","2","5","5","3","4","3","3","3","3","3","3","5","5","4","4","5","5","5","4","4","3","Развитие","","","Условия работы","","","Финансовая мотивация","Баланс работы и личной жизни","Руководство","","","","",""
"2003091975","11.03.2025 16:57:20","Да","Да","1–3 года","20.00","Мужской","2","3","5","4","5","5","5","4","4","5","3","5","5","5","4","3","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","Развитие","Коллектив и атмосфера","","Условия работы","","Интерес к работе","Финансовая мотивация","","Руководство","","","","",""
"2003094400","11.03.2025 16:59:47","Да","Да","1–3 года","20.00","Мужской","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","3","4","4","4","4","4","5","5","5","5","5","4","5","5","5","5","","Коллектив и атмосфера","","","","Интерес к работе","","Баланс работы и личной жизни","Руководство","","","","",""
"2003095451","11.03.2025 17:00:53","Да","Да","менее 1 года","21.00","Женский","4","4","4","4","5","5","5","5","5","5","5","5","5","5","4","3","4","4","4","4","4","5","5","5","5","5","5","3","4","4","4","Развитие","Коллектив и атмосфера","","Условия работы","","Интерес к работе","Финансовая мотивация","","","","","","",""
